peptide,vial_size,source_url,scraped_at,protocol_name,frequency,week_phase,dose_text,dose_mg,units,ml
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,Standard / Gradual Approach,Frequency: Inject once daily subcutaneously. This schedule uses the largest practical dilution (3.0 mL) to keep per-injection units well above 5 for better accuracy. Dosing is extrapolated from preclinical models [1] [6] ; human clinical validation remains limited.,Weeks 1–2,200 mcg (0.2 mg),200.0,6.0,0.06
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,Standard / Gradual Approach,Frequency: Inject once daily subcutaneously. This schedule uses the largest practical dilution (3.0 mL) to keep per-injection units well above 5 for better accuracy. Dosing is extrapolated from preclinical models [1] [6] ; human clinical validation remains limited.,Weeks 3–4,400 mcg (0.4 mg),400.0,12.0,0.12
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,Standard / Gradual Approach,Frequency: Inject once daily subcutaneously. This schedule uses the largest practical dilution (3.0 mL) to keep per-injection units well above 5 for better accuracy. Dosing is extrapolated from preclinical models [1] [6] ; human clinical validation remains limited.,Weeks 5–8+,600 mcg (0.6 mg),600.0,18.0,0.18
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,Standard / Gradual Approach,Frequency: Inject once daily subcutaneously. This schedule uses the largest practical dilution (3.0 mL) to keep per-injection units well above 10 for better accuracy. Dosing is extrapolated from preclinical models [1] [6] ; human clinical validation remains limited.,Weeks 1–2,200 mcg (0.2 mg),200.0,12.0,0.12
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,Standard / Gradual Approach,Frequency: Inject once daily subcutaneously. This schedule uses the largest practical dilution (3.0 mL) to keep per-injection units well above 10 for better accuracy. Dosing is extrapolated from preclinical models [1] [6] ; human clinical validation remains limited.,Weeks 3–4,400 mcg (0.4 mg),400.0,24.0,0.24
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,Standard / Gradual Approach,Frequency: Inject once daily subcutaneously. This schedule uses the largest practical dilution (3.0 mL) to keep per-injection units well above 10 for better accuracy. Dosing is extrapolated from preclinical models [1] [6] ; human clinical validation remains limited.,Weeks 5–8+,600 mcg (0.6 mg),600.0,36.0,0.36
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Standard / Conservative Approach,"Frequency: Once daily, 5 days per week , progressing from 1.0 mg to 1.5 mg and then 2.0 mg as shown above. At 33.33 mg/mL, those doses equal 3, 4.5, and 6 U-100 units [18] . Use a U-100 syringe with markings that clearly display every value in the table.",Weeks 1-4,1.0 mg (1000 mcg),1.0,3.0,0.03
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Standard / Conservative Approach,"Frequency: Once daily, 5 days per week , progressing from 1.0 mg to 1.5 mg and then 2.0 mg as shown above. At 33.33 mg/mL, those doses equal 3, 4.5, and 6 U-100 units [18] . Use a U-100 syringe with markings that clearly display every value in the table.",Weeks 5-8,1.5 mg (1500 mcg),1.5,4.5,0.045
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Standard / Conservative Approach,"Frequency: Once daily, 5 days per week , progressing from 1.0 mg to 1.5 mg and then 2.0 mg as shown above. At 33.33 mg/mL, those doses equal 3, 4.5, and 6 U-100 units [18] . Use a U-100 syringe with markings that clearly display every value in the table.",Weeks 9-12+,2.0 mg (2000 mcg),2.0,6.0,0.06
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Alternative Protocol,"Frequency: 2.0 mg three times per week , such as Monday, Wednesday, and Friday. At 33.33 mg/mL, each injection equals 6 U-100 units (0.06 mL) , for approximately 6 mg per week [18] .",Weeks 1-12+,2.0 mg (2000 mcg),2.0,6.0,0.06
