peptide,vial_size,source_url,scraped_at,item,schedule,label,quantity_text,quantity,unit
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,"Peptide Vials (BPC-157, 10 mg each):",,8 weeks ≈,3 vials,3.0,vials
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,"Peptide Vials (BPC-157, 10 mg each):",,12 weeks ≈,5 vials,5.0,vials
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,"Peptide Vials (BPC-157, 10 mg each):",,16 weeks ≈,6 vials,6.0,vials
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,Bacteriostatic Water (10 mL bottles):,,8 weeks (3 vials),9 mL (also: 1 × 10 mL),9.0,mL
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,Bacteriostatic Water (10 mL bottles):,,12 weeks (5 vials),15 mL (also: 2 × 10 mL),15.0,mL
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,Bacteriostatic Water (10 mL bottles):,,16 weeks (6 vials),18 mL (also: 2 × 10 mL),18.0,mL
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,"Peptide Vials (BPC-157, 5 mg each):",,8 weeks ≈,6 vials,6.0,vials
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,"Peptide Vials (BPC-157, 5 mg each):",,12 weeks ≈,9 vials,9.0,vials
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,"Peptide Vials (BPC-157, 5 mg each):",,16 weeks ≈,12 vials,12.0,vials
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,Bacteriostatic Water (10 mL bottles):,,8 weeks (6 vials),18 mL (also: 2 × 10 mL),18.0,mL
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,Bacteriostatic Water (10 mL bottles):,,12 weeks (9 vials),27 mL (also: 3 × 10 mL),27.0,mL
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,Bacteriostatic Water (10 mL bottles):,,16 weeks (12 vials),36 mL (also: 4 × 10 mL),36.0,mL
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,"Peptide Vials (GHK-Cu, 100 mg each):",5 days/week (1.0-2.0 mg/day),8 weeks (~50 mg total),1 vial,1.0,vial
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,"Peptide Vials (GHK-Cu, 100 mg each):",5 days/week (1.0-2.0 mg/day),12 weeks (~90 mg total),1 vial,1.0,vial
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,"Peptide Vials (GHK-Cu, 100 mg each):",5 days/week (1.0-2.0 mg/day),16 weeks (~130 mg total),2 vials,2.0,vials
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,"Peptide Vials (GHK-Cu, 100 mg each):",3 times/week (2 mg each),8 weeks (~48 mg total),1 vial,1.0,vial
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,"Peptide Vials (GHK-Cu, 100 mg each):",3 times/week (2 mg each),12 weeks (~72 mg total),1 vial,1.0,vial
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,"Peptide Vials (GHK-Cu, 100 mg each):",3 times/week (2 mg each),16 weeks (~96 mg total),1 vial,1.0,vial
